Flight Number,Source,Destination,Date,Departure Time,Arrival Time,Price
28177854,Mumbai,Ahmedabad,2024-04-27,16:47:09,03:39:01,2081.85
54221500,Ahmedabad,Chennai,2024-04-28,06:46:32,12:55:32,4351.98
257927,Kolkata,Delhi,2024-05-08,19:26:01,21:17:09,6503.02
587,Hyderabad,Ahmedabad,2024-05-02,11:09:02,13:14:05,9149.77
1570671,Lucknow,Delhi,2024-07-01,18:57:54,01:49:48,7791.57
7627,Pune,Mumbai,2024-03-22,02:23:06,09:35:51,9588.61
77124692,Lucknow,Delhi,2024-03-03,09:13:46,18:26:26,8921.13
91,Jaipur,Lucknow,2024-04-13,10:28:41,15:13:08,4428.83
78,Ahmedabad,Mumbai,2024-01-23,10:26:55,20:25:56,8035.57
999,Delhi,Ahmedabad,2023-11-17,16:31:44,19:16:08,7029.91
62072,Jaipur,Bengaluru,2024-01-14,15:49:33,20:06:06,5005.29
986253672,Delhi,Mumbai,2024-02-27,20:23:01,06:28:21,7961.2
10,Chennai,Delhi,2023-12-05,11:48:28,13:26:53,6403.74
5618,Ahmedabad,Lucknow,2024-02-13,22:15:23,08:37:52,3234.52
35783,Kolkata,Delhi,2024-04-29,13:56:03,21:09:40,8519.32
9383,Bengaluru,Jaipur,2024-03-25,18:21:35,02:09:47,2078.3
189,Ahmedabad,Bengaluru,2023-09-15,16:12:29,19:29:28,6027.71
2770,Mumbai,Kolkata,2024-03-16,22:55:28,09:46:57,7597.89
51116226,Hyderabad,Bengaluru,2024-07-16,18:41:37,05:28:46,4702.64
28,Chennai,Kolkata,2023-10-27,20:03:43,00:14:08,6449.88
3554770,Chennai,Bengaluru,2024-02-09,19:37:14,23:47:56,5779.51
930681,Delhi,Lucknow,2023-11-09,02:06:16,05:32:03,6130.8
87,Pune,Chennai,2024-09-02,17:16:33,21:13:07,4631.48
17,Jaipur,Kolkata,2024-01-01,10:12:22,18:32:43,6405.2
960,Delhi,Ahmedabad,2023-12-30,20:12:50,03:16:16,3900.89
563414,Kolkata,Delhi,2023-11-23,02:19:13,10:14:10,8387.24
63,Pune,Lucknow,2024-01-14,19:33:36,01:57:08,5026.83
70070065,Ahmedabad,Jaipur,2024-08-13,00:45:08,01:45:39,5413.62
9323,Lucknow,Pune,2024-04-29,17:36:00,23:40:09,3501.31
89302,Hyderabad,Pune,2024-08-25,07:23:22,16:12:16,3804.71
29,Kolkata,Chennai,2023-11-03,07:13:13,08:15:48,4778.79
88,Bengaluru,Chennai,2024-01-12,23:18:19,08:53:27,9166.87
54141354,Bengaluru,Mumbai,2024-08-30,12:48:05,15:04:24,3157.22
5089566,Bengaluru,Delhi,2024-01-26,17:54:17,18:57:44,2046.44
64027,Jaipur,Ahmedabad,2023-09-16,18:09:22,23:46:21,2786.33
7016,Bengaluru,Jaipur,2024-04-15,14:48:24,23:37:36,6068.31
181,Kolkata,Hyderabad,2024-08-30,14:52:23,23:59:32,2790.91
62,Pune,Lucknow,2024-02-05,19:05:35,23:48:52,4596.65
25310,Lucknow,Hyderabad,2024-04-20,05:28:29,08:54:54,9610.24
2040,Mumbai,Hyderabad,2024-04-05,06:50:43,09:40:08,3461.87
3754538,Jaipur,Lucknow,2024-04-21,19:52:20,05:19:06,7666.46
1410,Bengaluru,Lucknow,2024-04-11,21:25:17,08:07:24,3373.5
4097,Pune,Delhi,2024-07-21,21:55:08,03:13:09,2105.52
7006986,Delhi,Bengaluru,2023-09-25,13:39:54,17:32:07,8343.87
6063502,Lucknow,Chennai,2024-05-21,00:07:45,03:02:33,2239.99
8240465,Hyderabad,Pune,2024-08-21,18:48:39,22:42:54,7194.33
889049059,Delhi,Pune,2024-04-04,06:55:01,12:56:13,5037.44
98,Chennai,Ahmedabad,2023-10-21,00:27:55,09:00:22,5314.58
21352916,Bengaluru,Mumbai,2024-07-24,03:06:37,10:50:43,5664.34
217952395,Lucknow,Chennai,2024-08-25,10:23:16,13:32:20,5862.07
71802134,Delhi,Ahmedabad,2023-11-25,11:57:57,21:58:45,9111.74
997856,Mumbai,Ahmedabad,2024-05-18,19:57:50,03:20:10,5103.5
2,Hyderabad,Ahmedabad,2024-04-25,16:14:07,21:30:08,3600.49
75,Bengaluru,Hyderabad,2024-06-02,01:33:36,07:02:24,8536.86
8483,Hyderabad,Lucknow,2024-07-22,05:09:19,07:42:52,3491.64
223,Bengaluru,Jaipur,2024-02-27,10:06:29,13:15:41,6329.89
638,Jaipur,Hyderabad,2023-12-21,22:37:17,08:49:46,6487.92
1210177,Bengaluru,Mumbai,2024-04-02,23:00:57,05:13:39,6857.25
740,Delhi,Lucknow,2024-07-15,06:43:15,11:30:18,7576.21
854487221,Chennai,Ahmedabad,2024-03-04,23:48:00,09:53:07,4428.17
6945,Mumbai,Pune,2024-03-13,07:44:38,15:41:32,2327.6
6081084,Mumbai,Pune,2023-10-03,14:06:23,21:52:08,7430.8
32458338,Kolkata,Pune,2024-09-02,01:02:35,06:11:28,8310.65
1562528,Kolkata,Pune,2023-10-09,18:55:29,22:51:45,2498.08
737,Hyderabad,Delhi,2024-05-06,07:28:56,17:28:52,7750.46
248,Delhi,Ahmedabad,2024-01-01,14:36:38,15:38:32,8896.13
481,Lucknow,Kolkata,2023-10-25,17:12:23,20:18:20,9725.63
180321419,Chennai,Hyderabad,2023-12-06,14:26:38,15:30:33,2386.2
41900782,Kolkata,Bengaluru,2024-02-29,03:43:04,06:05:45,9418.28
6979393,Kolkata,Hyderabad,2024-08-11,18:37:27,05:28:55,9230.95
89570043,Jaipur,Ahmedabad,2024-07-14,13:10:02,20:12:46,4328.72
559214307,Pune,Ahmedabad,2023-12-15,17:19:03,19:20:51,3634.88
9343,Pune,Chennai,2024-07-28,00:57:14,02:54:12,8663.29
8500,Chennai,Bengaluru,2024-04-29,21:42:07,07:09:36,9013.07
9200,Mumbai,Chennai,2024-05-01,13:21:20,15:49:41,4819.95
7930,Lucknow,Jaipur,2024-02-24,08:59:17,12:53:58,2954.54
64438513,Jaipur,Chennai,2024-03-27,18:21:24,03:43:48,3125.7
74375,Chennai,Ahmedabad,2024-01-24,22:39:10,01:52:58,4194.1
28596288,Ahmedabad,Mumbai,2024-08-08,18:03:12,19:13:17,7252.76
39678884,Chennai,Hyderabad,2024-06-28,05:46:26,10:05:35,2552.32
46,Kolkata,Mumbai,2024-04-14,00:33:51,02:27:14,4959.32
611237745,Ahmedabad,Kolkata,2024-04-25,18:57:47,01:46:08,3593.7
86,Bengaluru,Hyderabad,2023-09-29,01:26:39,08:12:27,2719.32
6405,Kolkata,Jaipur,2024-02-14,15:26:33,20:04:07,7659.12
5,Pune,Bengaluru,2024-03-28,07:43:45,10:46:35,5518.99
295813319,Jaipur,Mumbai,2024-04-24,04:17:40,12:20:58,3502.2
6197712,Mumbai,Ahmedabad,2024-06-02,05:09:00,10:49:44,8142.95
9,Jaipur,Pune,2024-03-16,09:50:54,19:02:29,8540.73
542599,Kolkata,Hyderabad,2024-07-22,08:30:32,19:09:34,4362.52
494390375,Lucknow,Mumbai,2024-06-13,14:54:45,21:34:50,2917.39
188322012,Mumbai,Ahmedabad,2023-09-12,22:37:08,08:34:56,5953.97
431,Hyderabad,Pune,2024-04-14,18:49:06,21:07:09,7305.37
4560,Lucknow,Ahmedabad,2024-02-17,23:53:47,10:33:50,4512.6
166487973,Mumbai,Jaipur,2024-05-05,10:22:44,11:39:15,3418.27
176783,Lucknow,Mumbai,2023-11-18,17:35:06,00:33:52,6927.04
632449,Pune,Jaipur,2023-09-23,21:38:03,07:01:30,2016.47
398579619,Hyderabad,Ahmedabad,2024-01-20,20:58:12,23:11:23,8851.16
8645704,Hyderabad,Delhi,2024-01-18,02:41:05,11:14:32,4831.77
20946,Hyderabad,Chennai,2024-01-02,15:50:58,00:48:26,6027.41
55622336,Chennai,Bengaluru,2024-08-22,02:51:51,04:40:36,7737.29
77453,Mumbai,Pune,2024-01-10,08:37:28,13:14:35,9674.95
6797755,Lucknow,Chennai,2023-09-29,09:46:47,10:57:24,3675.18
682,Mumbai,Hyderabad,2023-12-02,23:38:41,10:12:41,2827.72
833624504,Chennai,Hyderabad,2023-10-25,21:01:30,23:38:57,2569.71
494,Hyderabad,Ahmedabad,2024-07-27,05:29:54,07:37:21,4077.91
2715,Hyderabad,Mumbai,2023-12-22,04:27:27,14:17:33,7075.99
8177,Kolkata,Ahmedabad,2023-12-23,03:07:53,10:08:48,5494.14
6519145,Hyderabad,Pune,2024-07-01,09:27:27,17:21:31,2742.78
335170939,Chennai,Pune,2023-10-29,06:17:30,13:19:07,8467.26
929,Ahmedabad,Kolkata,2024-07-02,05:26:33,09:04:46,3501.0
1,Delhi,Bengaluru,2023-12-03,22:47:45,04:55:21,2246.79
37807,Kolkata,Bengaluru,2023-11-29,20:10:13,07:09:12,9150.66
9577988,Pune,Mumbai,2023-12-10,09:16:11,17:25:11,2589.69
46519,Delhi,Lucknow,2024-01-05,23:02:32,08:09:36,3805.95
906,Lucknow,Hyderabad,2024-07-04,01:59:43,11:40:42,2728.76
779307332,Jaipur,Hyderabad,2024-05-26,22:16:38,04:00:25,8600.54
63009,Bengaluru,Ahmedabad,2024-05-31,07:30:09,09:37:07,8337.57
99,Delhi,Bengaluru,2024-06-05,12:49:54,16:57:28,8367.6
53983702,Bengaluru,Ahmedabad,2024-05-24,03:16:42,11:18:41,8208.21
7724367,Delhi,Bengaluru,2024-04-05,04:34:28,14:08:14,9806.93
670660987,Delhi,Lucknow,2024-03-22,17:27:29,00:08:37,6099.89
85580095,Hyderabad,Kolkata,2024-08-22,19:22:43,20:42:30,5511.52
109,Delhi,Mumbai,2024-01-24,12:13:54,14:38:32,3224.54
99567,Ahmedabad,Mumbai,2024-08-19,13:53:55,23:53:43,8424.06
44724,Ahmedabad,Hyderabad,2024-04-28,14:46:46,22:30:46,4576.42
51379,Mumbai,Pune,2024-04-19,06:50:59,13:41:32,9967.84
837,Pune,Mumbai,2024-02-11,06:56:00,10:43:09,3517.33
736070,Mumbai,Pune,2024-08-24,03:38:09,08:51:11,9419.62
55075,Ahmedabad,Jaipur,2023-12-11,00:36:01,06:53:58,2275.35
918388,Mumbai,Chennai,2024-07-25,11:42:35,15:56:23,4991.96
357064,Ahmedabad,Bengaluru,2024-07-23,04:15:27,09:43:44,6691.65
41939026,Jaipur,Ahmedabad,2024-04-24,17:15:32,20:28:57,7492.84
92124,Pune,Jaipur,2024-02-07,11:39:53,18:47:24,7198.92
605681,Hyderabad,Ahmedabad,2024-03-18,23:09:22,06:03:27,5773.08
314,Hyderabad,Chennai,2023-11-07,02:25:55,09:41:40,2719.52
9031,Lucknow,Chennai,2024-08-10,11:09:07,20:41:56,3671.31
2992761,Chennai,Kolkata,2023-10-18,06:22:26,09:35:44,4909.13
790096,Mumbai,Lucknow,2024-03-27,05:39:44,14:09:37,5433.84
3617,Jaipur,Delhi,2023-12-23,01:32:21,03:24:26,9974.44
496042890,Hyderabad,Kolkata,2024-01-10,18:51:07,01:43:31,2549.41
4125491,Bengaluru,Hyderabad,2024-08-23,11:16:53,13:37:57,9787.47
350823429,Pune,Hyderabad,2024-06-22,11:46:13,18:38:08,9424.31
818,Jaipur,Chennai,2024-02-13,17:51:37,00:48:59,6356.28
889938,Chennai,Lucknow,2024-07-22,15:05:54,16:47:32,6370.18
72,Hyderabad,Bengaluru,2024-04-09,12:13:13,16:17:03,4483.02
198341,Delhi,Chennai,2023-09-05,16:28:08,17:36:01,6061.02
787451,Bengaluru,Kolkata,2023-11-30,02:11:16,11:16:51,6321.86
493,Chennai,Ahmedabad,2024-01-31,16:20:58,17:32:53,6910.12
2510401,Chennai,Ahmedabad,2024-07-21,06:13:52,08:05:35,3517.8
37472416,Kolkata,Hyderabad,2024-05-07,15:41:28,00:09:11,9131.17
460,Pune,Lucknow,2023-11-16,20:24:31,03:14:16,8390.59
23283,Lucknow,Kolkata,2024-01-15,13:07:03,14:59:54,6027.1
6652839,Ahmedabad,Delhi,2023-12-05,16:38:21,00:52:54,6454.06
59,Mumbai,Hyderabad,2024-08-13,05:43:30,12:04:53,6541.27
377,Hyderabad,Lucknow,2023-10-18,04:15:08,06:57:13,5582.08
4,Hyderabad,Lucknow,2024-05-20,15:35:03,22:51:09,5094.7
5018226,Ahmedabad,Jaipur,2023-12-15,14:28:11,18:32:48,5345.01
201076,Mumbai,Bengaluru,2024-03-19,08:36:02,15:56:19,6664.33
59516,Mumbai,Hyderabad,2023-09-26,13:21:10,19:01:23,5659.21
5732019,Kolkata,Ahmedabad,2024-04-07,00:58:41,07:31:37,3051.58
5849277,Mumbai,Chennai,2023-11-25,06:58:19,17:36:11,6353.37
77,Pune,Jaipur,2024-05-14,15:39:34,23:34:30,5230.93
2992192,Mumbai,Delhi,2023-09-14,09:41:25,13:59:19,2906.9
603,Pune,Kolkata,2024-08-12,02:00:15,10:17:00,3949.75
4132,Delhi,Mumbai,2023-11-28,23:51:47,02:50:27,9054.6
475112,Bengaluru,Jaipur,2024-01-01,17:24:10,01:29:04,2515.82
994848321,Jaipur,Ahmedabad,2023-09-09,15:39:45,00:16:03,2477.96
2339,Lucknow,Pune,2024-05-20,11:20:52,20:07:51,8591.19
815,Chennai,Lucknow,2023-11-21,23:25:09,07:31:33,3448.58
768516,Lucknow,Bengaluru,2024-07-11,00:51:27,02:22:17,3204.97
8763,Chennai,Mumbai,2023-10-14,21:07:32,01:30:37,5500.74
4222552,Ahmedabad,Hyderabad,2024-03-21,09:07:55,13:17:57,6920.55
938622,Delhi,Kolkata,2023-10-11,10:47:42,17:48:32,4490.36
48298508,Pune,Kolkata,2024-01-17,12:50:24,20:35:52,6380.99
211452,Delhi,Mumbai,2024-06-05,12:21:08,22:05:15,7003.57
39497198,Mumbai,Kolkata,2024-05-27,17:50:25,02:50:37,6555.33
9357,Lucknow,Ahmedabad,2024-05-10,23:47:48,01:20:27,8075.58
661,Mumbai,Pune,2024-06-11,17:54:06,04:04:14,9953.55
784628,Hyderabad,Bengaluru,2024-03-22,03:45:29,07:27:16,3057.84
99733,Hyderabad,Mumbai,2024-03-06,16:33:37,02:48:11,7157.97
286,Kolkata,Ahmedabad,2024-02-04,02:38:40,10:57:09,8195.38
11610288,Kolkata,Chennai,2023-09-25,05:36:14,16:01:10,8501.06
7097367,Mumbai,Bengaluru,2023-12-21,03:26:10,06:08:01,5141.37
529481731,Hyderabad,Ahmedabad,2024-01-10,17:08:53,19:10:28,2941.06
901087,Pune,Ahmedabad,2024-07-01,20:26:08,21:34:46,9651.59
39740,Bengaluru,Mumbai,2024-03-25,07:03:06,12:19:22,3932.82
57996611,Kolkata,Hyderabad,2023-12-01,10:13:41,17:54:07,2751.1
78841904,Ahmedabad,Hyderabad,2023-10-07,07:47:03,16:09:32,2201.18
36,Lucknow,Jaipur,2024-07-06,01:15:18,02:51:57,8690.1
802934,Mumbai,Chennai,2023-09-19,16:14:00,01:39:33,7606.44
57794,Chennai,Lucknow,2023-11-29,16:15:03,20:10:02,5355.98
38907,Pune,Kolkata,2024-05-14,22:02:23,00:34:17,5073.88
15,Jaipur,Bengaluru,2023-09-11,15:52:19,17:09:52,6705.25
92925658,Ahmedabad,Chennai,2023-12-03,19:23:32,23:56:56,7804.46
2686,Hyderabad,Mumbai,2024-01-10,23:37:33,08:29:24,2184.78
35514,Chennai,Ahmedabad,2023-11-07,17:51:05,01:35:12,7707.4
26877109,Hyderabad,Mumbai,2024-05-12,01:08:16,02:42:28,2106.12
657283,Mumbai,Jaipur,2023-12-24,11:31:57,15:45:20,6885.31
9866,Delhi,Lucknow,2024-08-05,23:06:54,03:43:12,2373.17
455228,Bengaluru,Kolkata,2024-02-05,21:56:38,02:26:35,5503.24
3054070,Lucknow,Pune,2024-07-06,03:12:13,05:49:07,3645.37
76,Delhi,Jaipur,2024-05-19,09:46:19,20:05:24,2702.75
71340671,Pune,Ahmedabad,2023-10-12,04:11:16,08:09:13,8862.62
6400,Kolkata,Chennai,2024-03-27,04:12:46,11:54:17,7624.89
23531364,Delhi,Lucknow,2024-01-20,16:03:51,23:02:03,3187.24
87195,Chennai,Mumbai,2023-11-07,05:29:22,15:55:43,2796.23
543630,Bengaluru,Mumbai,2024-04-10,07:38:33,10:21:43,7844.28
383,Chennai,Lucknow,2024-06-17,18:31:35,23:45:51,8952.43
97850646,Jaipur,Hyderabad,2024-05-07,20:34:04,23:10:52,3152.17
9989,Bengaluru,Delhi,2024-01-27,23:33:28,07:19:28,3654.33
1389231,Mumbai,Bengaluru,2023-10-10,19:32:50,01:44:54,7653.8
51119193,Mumbai,Bengaluru,2024-03-05,06:20:50,12:38:28,6914.74
721179,Lucknow,Jaipur,2024-07-10,23:43:52,09:12:23,7282.62
21,Jaipur,Mumbai,2024-03-10,21:43:40,08:32:52,5689.45
171543,Ahmedabad,Jaipur,2024-08-02,06:58:26,14:36:02,9632.35
60377110,Hyderabad,Jaipur,2023-11-05,07:17:45,14:03:04,7075.92
4828434,Lucknow,Bengaluru,2024-04-27,12:14:59,18:48:42,4355.46
875,Chennai,Ahmedabad,2024-07-31,02:40:34,13:26:06,2115.33
66084270,Ahmedabad,Chennai,2024-02-26,13:46:56,17:59:38,4900.19
425766165,Ahmedabad,Hyderabad,2024-04-03,00:30:10,10:33:08,7348.81
8531,Ahmedabad,Delhi,2024-05-29,08:03:18,10:32:24,6837.91
348529280,Hyderabad,Jaipur,2024-01-22,21:02:49,22:21:56,5780.84
5559157,Pune,Hyderabad,2024-08-15,04:10:31,06:30:55,8136.78
140,Chennai,Delhi,2024-06-13,14:01:27,15:27:10,6190.57
674899,Ahmedabad,Chennai,2023-11-02,10:58:03,17:43:37,7920.54
85236857,Jaipur,Ahmedabad,2023-12-31,13:38:39,20:05:56,5135.13
329914,Lucknow,Kolkata,2024-07-26,18:01:03,21:34:00,9206.32
245935,Delhi,Lucknow,2024-08-12,11:55:07,19:48:49,8389.08
615,Delhi,Ahmedabad,2023-10-01,23:33:31,01:42:11,3834.93
2342714,Delhi,Bengaluru,2024-04-16,10:37:43,17:02:52,6831.88
8829,Kolkata,Bengaluru,2023-12-10,15:36:04,00:05:29,2209.52
816307,Chennai,Hyderabad,2023-09-13,13:58:51,21:18:21,6313.92
40583719,Mumbai,Lucknow,2024-02-08,20:05:12,02:10:58,9528.88
7959360,Kolkata,Bengaluru,2024-08-20,04:26:02,07:14:52,6015.5
29092,Bengaluru,Delhi,2023-12-30,15:52:06,23:53:45,8011.25
983113969,Hyderabad,Kolkata,2023-10-12,04:06:43,08:10:19,9793.4
274076077,Chennai,Jaipur,2024-01-11,08:15:59,16:21:13,8143.56
791024,Delhi,Pune,2023-12-03,07:36:44,17:35:34,6205.88
72912,Mumbai,Pune,2024-05-08,21:11:19,00:36:04,9883.03
5634,Jaipur,Pune,2024-03-28,10:50:46,13:31:48,8503.81
68240,Bengaluru,Hyderabad,2024-05-31,09:18:05,11:53:36,6625.12
810092,Delhi,Hyderabad,2024-02-14,06:04:55,08:52:03,6619.06
9537,Pune,Kolkata,2024-05-15,15:50:28,21:15:37,2694.48
12336109,Kolkata,Delhi,2023-12-14,15:38:48,18:55:51,3263.52
385,Hyderabad,Ahmedabad,2023-09-25,16:51:37,01:46:39,2215.25
20796100,Chennai,Delhi,2024-02-26,06:57:25,12:38:26,6329.6
987193380,Jaipur,Mumbai,2024-08-24,09:15:36,15:43:44,5949.69
7119,Delhi,Lucknow,2024-03-17,19:07:06,21:21:06,6718.8
58375,Jaipur,Kolkata,2024-03-24,10:31:19,13:34:10,2806.77
20592,Delhi,Mumbai,2024-05-28,17:40:53,01:28:19,4833.57
95007406,Ahmedabad,Kolkata,2024-07-15,03:53:31,14:25:09,5734.51
892305,Delhi,Chennai,2024-08-07,23:21:00,02:25:19,9499.49
25003,Jaipur,Pune,2024-05-28,20:22:15,06:11:07,8429.8
853525466,Kolkata,Delhi,2024-06-24,07:27:47,14:53:06,9337.83
8323,Chennai,Delhi,2024-04-21,19:01:05,04:00:41,6609.23
18,Delhi,Mumbai,2024-08-21,09:08:16,13:44:03,9945.26
38,Chennai,Kolkata,2024-07-18,16:31:43,22:11:08,3888.12
838930,Pune,Delhi,2023-09-08,05:01:14,07:49:07,5449.09
43871,Bengaluru,Delhi,2024-06-25,20:17:36,05:23:31,9857.57
3683,Pune,Kolkata,2023-10-31,17:45:27,03:10:11,8835.51
873222,Ahmedabad,Bengaluru,2024-02-06,19:46:00,21:46:02,6193.87
22,Jaipur,Delhi,2023-12-19,04:08:24,11:46:35,4113.44
233373986,Kolkata,Lucknow,2024-01-18,13:11:21,15:47:02,6234.85
637,Pune,Hyderabad,2024-03-20,06:31:04,14:12:22,3087.62
3084,Ahmedabad,Hyderabad,2024-07-05,21:12:27,22:19:10,5140.51
483852128,Pune,Jaipur,2024-02-05,20:07:16,23:02:24,2878.69
80,Ahmedabad,Hyderabad,2024-03-21,12:16:20,22:13:38,8293.29
88377638,Ahmedabad,Lucknow,2024-07-28,16:41:19,18:52:57,7743.71
668,Delhi,Lucknow,2024-02-28,08:29:10,10:59:18,2778.13
1582,Ahmedabad,Hyderabad,2024-03-12,01:27:50,07:50:42,4235.46
492,Mumbai,Lucknow,2024-01-10,22:36:12,00:34:40,7636.7
2562129,Mumbai,Hyderabad,2023-10-08,02:14:14,13:11:01,8007.39
3777,Chennai,Pune,2023-09-06,04:34:59,08:46:28,8098.9
27827836,Pune,Mumbai,2024-05-10,16:40:52,23:19:08,8172.73
402591,Delhi,Mumbai,2024-03-20,02:33:54,04:37:25,2364.35
2534,Bengaluru,Chennai,2023-11-12,18:28:45,19:31:26,8901.52
77443436,Kolkata,Hyderabad,2024-01-06,03:18:54,09:18:00,8801.26
42,Chennai,Lucknow,2024-04-06,23:53:14,02:37:37,7636.7
5073,Ahmedabad,Lucknow,2024-03-24,10:20:39,19:36:05,8817.15
67454,Lucknow,Ahmedabad,2024-07-14,18:00:07,23:40:16,2783.9
29544,Mumbai,Ahmedabad,2024-02-17,23:05:11,00:40:40,9053.7
130853,Lucknow,Bengaluru,2024-08-05,20:12:58,23:45:04,7947.64
6283,Bengaluru,Chennai,2024-06-18,14:07:19,16:42:19,5960.79
19118926,Jaipur,Hyderabad,2024-03-20,05:41:45,14:30:43,5790.74
408203,Pune,Mumbai,2023-09-25,16:21:36,01:01:16,6383.48
597,Kolkata,Delhi,2023-12-06,20:13:35,01:34:07,2466.38
6762034,Bengaluru,Delhi,2024-05-24,13:24:05,23:37:31,2876.02
2313759,Pune,Chennai,2024-04-24,02:10:11,08:42:03,9086.98
406605465,Kolkata,Jaipur,2023-10-02,20:58:21,22:47:24,7181.19
6002,Lucknow,Chennai,2023-12-17,02:17:59,05:50:58,8665.39
907,Bengaluru,Jaipur,2023-12-06,10:34:07,15:30:22,4772.56
473061,Hyderabad,Kolkata,2024-01-26,21:48:01,23:00:38,5330.54
44488080,Mumbai,Pune,2024-02-29,06:08:32,11:28:59,2974.55
861,Jaipur,Bengaluru,2023-10-24,13:07:44,23:24:38,4492.64
514,Chennai,Lucknow,2023-12-16,06:29:25,15:01:04,4015.6
78848,Lucknow,Bengaluru,2023-09-11,15:48:56,00:55:11,4522.65
57,Delhi,Chennai,2024-08-17,17:29:25,22:49:24,2754.34
51991142,Hyderabad,Jaipur,2024-06-12,09:22:55,16:16:10,3838.12
36661172,Hyderabad,Jaipur,2024-02-14,08:10:03,13:12:36,5388.59
108,Jaipur,Delhi,2024-01-05,21:27:31,02:25:54,7255.53
829428409,Kolkata,Hyderabad,2024-07-13,03:45:12,05:39:34,6769.49
